ref,book_osis,chapter,verse_start,verse_end,kjv_text,cuvs_text,has_commentary,summary_en,summary_zh,bullet_points_en,bullet_points_zh,sources,evidence,model,prompt_version,created_at,status,error,keep_drop,my_edit_en,my_edit_zh,notes
  ent | https://www.biblicaltheology.org/ent.pdf,,,,,,,,,,,,,,,,,,,,,,
  inferred from 1 Corinthians 11:30; 1 Thessalonians 4:13, nevertheless Paul shrinks from it as from a relatively undesirable state, since it involves “nakedness” for the soul, which condition, however, does not exclude a relatively high degree of blessedness in fellowship with Christ (2 Corinthians 5: 2-4,6," 8; Philippians 1:23). In the same manner a difference in the degree or mode of punishment between the intermediate state and the age to come is plainly taught. For on the one hand the eterna …""",gpt-5,v1,2025-12-16T06:36:29-05:00,ok,,,,,,,,,,,
1Cor 12:4,1Cor,12,4,4,,恩賜原有分別，聖靈卻是一位。,1,"The excerpt briefly appeals to 1 Corinthians 12:4 to support the idea that God distributes diverse gifts. It applies this to biblical interpretation: different people may be gifted to interpret different genres of Scripture (history, prophecy, poetry, parable, apocalypse), so not everyone has the same interpretive gifts.",该段简要引用林前12:4强调“恩赐有分别”。并将此原则应用于释经：不同的人可能在不同经文体裁（历史、预言、诗歌、比喻、启示文学）的解读上各有恩赐，因此并非人人在各体裁上都有同样的解经恩赐。,"[""Uses 1 Cor 12:4 to affirm diversity of gifts."", ""Applies diversity to hermeneutics: some are gifted for certain biblical genres while others are not."", ""Recognizes that interpretive abilities may vary across genres.""]","[""以林前12:4为依据，强调恩赐多样。"", ""将多样性应用到释经：有人擅长某些体裁，别人则擅长不同体裁。"", ""承认解经能力会因体裁而异。""]",InterpretingTheBible--Revision2 — https://ia801301.us.archive.org/0/items/InterpretingTheBible/InterpretingTheBible--Revision2.pdf,"- para_id=312, p_index=91: Explicitly cites 1 Cor 12:4 to ground the claim that there is a variety of gifts, applying it to interpretive gifts across genres.",,,,,,,,,
  InterpretingTheBible--Revision2 | https://ia801301.us.archive.org/0/items/InterpretingTheBible/InterpretingTheBible--Revision2.pdf,,,,,,,,,,,,,,,,,,,,,,
  interpreted in the same way. For its books and its parts are not all of the same kind or genre. Historical books and parts are not the same as the prophetic parts. For example, the book of Revelation must not be interpreted as a historic book, as a story about the events that happened in the life of the people at that time. Rather, it needs its own particular approach that does justice to its genre. The same has to be said for parables and the apostolic letters -- they are distinct genres. For t …,,,,,,,,,,,,,,,,,,,
#NAME?, p_index=91: Duplicate passage reiterating the same citation and application to hermeneutics.,,,,,,,,,,,,,,,,,,,,,
  InterpretingTheBible--Revision2 | https://ia801301.us.archive.org/0/items/InterpretingTheBible/InterpretingTheBible--Revision2.pdf,,,,,,,,,,,,,,,,,,,,,,
  interpreted in the same way. For its books and its parts are not all of the same kind or genre. Historical books and parts are not the same as the prophetic parts. For example, the book of Revelation must not be interpreted as a historic book, as a story about the events that happened in the life of the people at that time. Rather," it needs its own particular approach that does justice to its genre. The same has to be said for parables and the apostolic letters -- they are distinct genres. For t …""",gpt-5,v1,2025-12-16T06:36:52-05:00,ok,,,,,,,,,,,,,,,
1Cor 15:8,1Cor,15,8,8,,末了也顯給我看；我如同未到產期而生的人一般。,1,"The paragraph briefly cites 1 Corinthians 15:8 among texts used to argue against the idea that the dead are unconscious in the intermediate state. Within a broader claim that “sleep” is a figurative term describing the dead’s lack of relation to earthly life (not soul-unconsciousness), the verse is proof-texted as part of evidence for continued consciousness after death.",该段将林前15:8列入反对“死人在中间状态中无意识”的经文之一。作者主张“睡了”是比喻性说法，表示死者对现世的隔绝，而非灵魂无意识；林前15:8在此被作为支持死者仍有意识之见的证据之一。,"[""1 Corinthians 15:8 is listed as a text against the view that the dead are unconscious in the intermediate state."", ""“Sleep” for death is treated as a figurative description of disconnection from earthly life, not of the spirit’s unconsciousness.""]","[""林前15:8被列为反驳“死者在中间状态中无意识”的经文之一。"", ""“睡了”被理解为对与现世隔绝的比喻，而非灵魂无意识。""]",ent — https://www.biblicaltheology.org/ent.pdf,"- para_id=196, p_index=40: Explicitly includes 1 Corinthians 15:8 in a list of texts argued to be against the unconsciousness of the dead, within a discussion that treats ‘sleep’ as figurative.",,,,,,,,,
  ent | https://www.biblicaltheology.org/ent.pdf,,,,,,,,,,,,,,,,,,,,,,
  X. The Intermediate State In regard to the state of the dead, previously to the parousia and the resurrection, the New Testament is far less explicit than in its treatment of what belongs to general eschatology. The following points may here briefly be noted: (1) The state of death is frequently represented as a “sleeping,” just as the act of dying as a “falling asleep” (Matthew 9:24; John 9:4; 11:11; 1 Corinthians 7:39; 11:30; 15:6,18,20, 51; 1 Thessalonians 4:13," 15; 2 Peter 3:4). This usage …""",gpt-5,v1,2025-12-16T06:37:33-05:00,ok,,,,,,,,,,,
1Cor 15:10,1Cor,15,10,10,,然而，我今日成了何等人，是蒙神的恩纔成的，並且他所賜我的恩不是徒然的。我比眾使徒格外勞苦；這原不是我，乃是神的恩與我同在。,1,"The excerpt uses 1 Corinthians 15:10 as a harmony text to affirm that Scripture does not teach meritorious good works. In line with Matthew 10:41 and Luke 17:10, it implies that Paul’s labor was due to God’s grace, not personal merit, so there is no contradiction among these passages.",本文将林前15:10作为经文和谐的依据，强调圣经并不教导善行能赚取功德。与太10:41、路17:10一致，林前15:10所表明的是：保罗的劳苦乃出于神的恩典，而非人的功劳，因此这些经文之间并无矛盾。,"[""Scripture must be interpreted without creating conflicts among texts."", ""1 Corinthians 15:10 aligns with the teaching that good works do not earn merit before God."", ""Paul’s extraordinary labor is attributed to God’s grace at work in him, leaving no room for boasting or merit.""]","[""解经应避免经文之间的矛盾。"", ""林前15:10与“善行不赚取功德”的教训一致。"", ""保罗格外劳苦是因神的恩与他同在，并非可夸的个人功劳。""]",InterpretingTheBible--Revision2 — https://ia801301.us.archive.org/0/items/InterpretingTheBible/InterpretingTheBible--Revision2.pdf,"- para_id=302, p_index=81: States there is no conflict between Matt 10:41 and 1 Cor 15:10 regarding the non-meritorious nature of good works.",,,,,,,,,
  InterpretingTheBible--Revision2 | https://ia801301.us.archive.org/0/items/InterpretingTheBible/InterpretingTheBible--Revision2.pdf,,,,,,,,,,,,,,,,,,,,,,
  2 Corinthians 13:13, etc. Another example: Christ says that neither the man born blind nor his parents had sinned (John 9:3). This must not be explained as being in conflict with the teaching that all men are sinful (Romans 3:10-20). When we interpret Scripture and we come clearly into conflict with what God has made known in his Word, then it is evident that we have made a mistake in our interpretation. We did not understand the text correctly. Greijdanus gives one more example: in Matthew 10:4 …,,,,,,,,,,,,,,,,,,,,
#NAME?, p_index=81: Duplicate of the same statement, reinforcing the same point.,,,,,,,,,,,,,,,,,,,,
  InterpretingTheBible--Revision2 | https://ia801301.us.archive.org/0/items/InterpretingTheBible/InterpretingTheBible--Revision2.pdf,,,,,,,,,,,,,,,,,,,,,,
  2 Corinthians 13:13, etc. Another example: Christ says that neither the man born blind nor his parents had sinned (John 9:3). This must not be explained as being in conflict with the teaching that all men are sinful (Romans 3:10-20). When we interpret Scripture and we come clearly into conflict with what God has made known in his Word," then it is evident that we have made a mistake in our interpretation. We did not understand the text correctly. Greijdanus gives one more example: in Matthew 10:4 …""",gpt-5,v1,2025-12-16T06:38:22-05:00,ok,,,,,,,,,,,,,,,,
1Cor 15:22,1Cor,15,22,22,,在亞當裏眾人都死了；照樣，在基督裏眾人也都要復活。,1,"The paragraph rejects reading 1 Corinthians 15:22 as teaching absolute universal salvation. It argues that when Paul says ""all,"" he is speaking in a cosmic or national sense, not promising the salvation of every individual, which would contradict his other teachings on predestination and the eternal destiny of the wicked.",该段否定把林前15:22解读为“绝对的普救论”。作者认为此处的“众人/全体”带有宇宙性或群体性的范围，并非保证每个个体最终得救；若读成普救，将与保罗关于预定与恶人永恒定命的教导相矛盾。,"[""1 Cor 15:22 should not be used to support absolute universalism."", ""The \""all\"" is understood as cosmic/national in scope, not individual universal salvation."", ""A universalist reading would contradict Paul’s other clear teachings on predestination and the eternal destiny of the wicked.""]","[""林前15:22不可用来支持“普救论”。"", ""其中“众人/全体”应理解为宇宙性或群体性的范围，而非每个个体都得救。"", ""将其读为普救会与保罗关于预定与恶人永恒定命的明确教导相冲突。""]",ent — https://www.biblicaltheology.org/ent.pdf,"- para_id=192, p_index=36: Explicitly lists 1 Cor 15:22 among texts misused for absolute universalism and argues the verse teaches only a cosmic/national universality, not individual salvation.",,,,,,,,,
  ent | https://www.biblicaltheology.org/ent.pdf,,,,,,,,,,,,,,,,,,,,,,
  2 Thessalonians 1:11 where the genitive pisteos is a gen. of origin), and Paul speaks as a rule not of poiein but of prassein, i.e. of the practice, the systematic doing, of that which is good. The judgment assigns to each individual his eternal destiny, which is absolute in its character either of blessedness or of punishment, though admittedly of degrees within these two states. Only two groups are recognized, those of the condemned and of the saved (Matthew 25:33," 14; John 5:29); no intermedi …""",gpt-5,v1,2025-12-16T06:38:56-05:00,ok,,,,,,,,,,
1Cor 15:23,1Cor,15,23,23,,但各人是按着自己的次序復活：初熟的果子是基督；以後，在他來的時候，是那些屬基督的。,1,"The verse’s phrase “at his coming” uses the technical term parousia, denoting Christ’s future arrival/manifestation (often linked with the judgment day). The verse teaches an ordered resurrection: Christ as the firstfruits, then those who belong to Christ at his parousia. It addresses bodily resurrection from the grave rather than the intermediate state and does not support the idea that believers abide in a local Hades until then.",本节“在他来的时候”使用术语“parousia”（再临），指基督将来的到来/显现（常与审判之日相关）。经文强调复活的次序：基督为初熟的果子，其后在他再临时属基督的人复活。它关注的是身体从坟墓中的复活，而非中间状态，并不支持信徒在一个地方性“阴间”居住至那日的观点。,"[""“At his coming” (parousia) in 1 Cor 15:23 denotes Christ’s future arrival/manifestation, commonly tied to the judgment day."", ""The verse outlines an order of resurrection: first Christ (the firstfruits), then those who are Christ’s at his parousia."", ""It concerns bodily resurrection from the grave and does not teach that believers reside in a local Hades in the interim.""]","[""1哥林多前书15:23中的“在他来的时候”（parousia）指基督将来的到来/显现，常与审判之日相连。"", ""本节陈述复活的次序：基督作初熟的果子，其后在他再临时属于基督的人复活。"", ""经文谈的是身体从坟墓中的复活，并不教导信徒在一个地方性的“阴间”暂居。""]",ent — https://www.biblicaltheology.org/ent.pdf | hades — https://www.biblicaltheology.org/hades.pdf,"- para_id=166, p_index=10: Defines parousia as Christ’s future coming/manifestation and lists 1 Corinthians 15:23 among its occurrences, framing the term’s NT usage.",,,,,,,,,
  ent | https://www.biblicaltheology.org/ent.pdf,,,,,,,,,,,,,,,,,,,,,,
  V. The Parousia 1. Definition: The word denotes “coming,” “arrival.” It is never applied to the incarnation of Christ, and could be applied to His second coming only, partly because it had already become a fixed Messianic term, partly because there was a point of view from which the future appearance of Jesus appeared the sole adequate expression of His Messianic dignity and glory. The explicit distinction between “first advent” and “second advent” is not found in the New Testament. It occurs in …,,,,,,,,,,,,,,,,,,
#NAME?, p_index=1: Explicitly states that 1 Corinthians 15:23 refers to the grave and the body, not to a local Hades, thus addressing the verse’s scope.,,,,,,,,,,,,,,,,,,,
  hades | https://www.biblicaltheology.org/hades.pdf,,,,,,,,,,,,,,,,,,,,,,
  “Hades” The International Standard Bible Encyclopedia, Vol. II:1314-1315. [1915] ha’-dez (Haides, haides, “not to be seen”): Hades, Greek originally Haidou, in genitive, “the house of Hades,” then, as nominative, designation of the abode of the dead itself. The word occurs in the New Testament in Matthew 11:23 (parallel Luke 10:15); Matthew 16:18; Luke 16:23; Acts 2:27, 31; Revelation 1:18, 6:8, 20:13f. It is also found in Textus Receptus of the New Testament 1 Corinthians 15:55," but here the co …""",gpt-5,v1,2025-12-16T06:39:56-05:00,ok,,,,,
1Cor 15:23-28,1Cor,15,23,28,,23. 但各人是按着自己的次序復活：初熟的果子是基督；以後，在他來的時候，是那些屬基督的。,,,,,,,,,,,,,,,,
24. 再後，末期到了，那時基督既將一切執政的、掌權的、有能的、都毀滅了，就把國交與父神。,,,,,,,,,,,,,,,,,,,,,,
25. 因為基督必要作王，等神把一切仇敵都放在他的腳下。,,,,,,,,,,,,,,,,,,,,,,
26. 盡末了所毀滅的仇敵，就是死。,,,,,,,,,,,,,,,,,,,,,,
27. 因為經上說：「神叫萬物都服在他的腳下。」既說萬物都服了他，明顯那叫萬物服他的，不在其內了。,,,,,,,,,,,,,,,,,,,,,,
"28. 萬物既服了他，那時子也要自己服那叫萬物服他的，叫神在萬物之上，為萬物之主。""",1,"The paragraph rejects using 1 Cor 15:23–28 to teach a double resurrection or a millennial interim reign. In this passage the two “orders” (tagmata) are Christ and those who belong to Christ; unbelievers are not in view. “Then the end” (v.24) is the conclusion of the eschatological series, not a later resurrection of unbelievers. The kingdom Christ hands over to the Father does not begin at the parousia; it has been operative since Christ’s exaltation and continues until all enemies, including death, are subdued.",该段否定用林前15:23–28来支持“双重复活”或中间的千年国。经文中的两个“等次”（tagmata）是基督与属基督的人，并未讨论不信者。“随后是末期”（v.24）指的是整套末世事件的终结，而非不信者稍后的复活。基督所交付给父的国并非在再临才开始，而是自基督升天已在运行，直到一切仇敌（包括死亡）被制服为止。,"[""“Two orders” are Christ and those who are Christ’s; unbelievers are not addressed in this pericope."", ""“Then the end” is the culmination of eschatological events, not a subsequent resurrection of unbelievers."", ""Christ’s reign in view has been in effect since his exaltation, not a provisional kingdom starting at the parousia."", ""The passage therefore does not support a millennial interim or a double-resurrection scheme.""]","[""两个“等次”是基督与属基督的人；本段未涉及不信者。"", ""“随后是末期”是末世事件的终点，而非不信者的后续复活。"", ""经文所述基督作王自升天已开始施行，并非再临时才开启的临时国度。"", ""因此，该段经文不支持千禧中间国或“双重复活”的架构。""]",ent — https://www.biblicaltheology.org/ent.pdf,"- para_id=182, p_index=26: Explicitly interprets 1 Cor 15:23–28: defines the two tagmata, explains “the end,” and argues the kingdom is already operative since Christ’s exaltation.",,,,,,,,,,,,,,,
  ent | https://www.biblicaltheology.org/ent.pdf,,,,,,,,,,,,,,,,,,,,,,
  in Judaism to the extent of assuming a repeated resurrection; the entire resurrection is always placed at the end. The passages to which this doctrine of a double resurrection appeals are chiefly Acts 3: 19-21; 1 Corinthians 15:23-28; Philippians 3:9-11; 1 Thessalonians 4:13-18; 2 Thessalonians 1:5-12; Revelation 20:1-6. In the first-named passage Peter promises “seasons of refreshing,"” when Israel shall have repented and turned to God. The arrival of these coincides with the sending of the Chri …""",gpt-5,v1,2025-12-16T06:40:34-05:00,ok,,,,,,,,,,,,,,,,,
1Cor 15:26,1Cor,15,26,26,,盡末了所毀滅的仇敵，就是死。,1,"The paragraph links 1 Cor 15:26 to Rev 20:14, noting that when Scripture says death and Hades are thrown into the lake of fire, this likely signifies the cessation/abolition of these evils (death’s destruction), which coheres with 1 Cor 15:26 and 15:54 (and Isa 25:8). It adds that “the second death” applies to the lost among humans, not to death and Hades themselves, and leaves open (though doubtful) whether death/Hades could be real demon powers.",该段将林前15:26与启20:14相联系，指出“死亡和阴间被扔在火湖里”很可能是人格化表述，意指这些恶的终止/废除（即死亡被毁灭），这与林前15:26、15:54（及赛25:8）相一致。作者并强调“第二次的死”是针对失丧之人，而非针对“死亡/阴间”本身；同时也保留（但存疑）“死亡/阴间”可能是具有实在性的恶势力之说。,"[""Connects Rev 20:14 with 1 Cor 15:26: casting death into the lake of fire signifies death’s abolition."", ""“Second death” pertains to the lost among humans, not to death/Hades themselves."", ""Possible but doubtful reading: death and Hades as demon-like powers; more likely a figurative way to express their cessation."", ""This aligns with Isa 25:8 and 1 Cor 15:54 about death being swallowed up/defeated.""]","[""将启20:14与林前15:26相连：把死亡丢在火湖里象征死亡被废除。"", ""“第二次的死”是针对失丧之人，而不是针对死亡/阴间本身。"", ""亦提到一种可能但存疑的解读：把死亡与阴间看作恶势力；更可能是人格化的终止说法。"", ""与赛25:8、林前15:54关于“死亡被吞灭/失败”的主题一致。""]",lof — https://www.biblicaltheology.org/lof.pdf,"- para_id=438, p_index=1: Explicitly cross-references 1 Cor 15:26 (and 15:54) when interpreting Rev 20:14; argues death/Hades cast into the lake of fire signifies their cessation, aligning with death’s destruction.",,,,,,,,,
  lof | https://www.biblicaltheology.org/lof.pdf,,,,,,,,,,,,,,,,,,,,,,
  (limne tou puros): Found in Revelation 19:20, 20:10,14, 15. Revelation 21:8 has “the lake that burneth with fire and brimstone.” The brimstone in connection with “the lake of fire” occurs also in Revelation 19:20 and 20:10, the latter being a backward reference to the former passage. In Revelation 20:14 the words, “This is the second death, even the lake of fire” are either a gloss originally intended to elucidate 20: 15 through a reference to 20:6, or, if part of the text," formed originally th …""",gpt-5,v1,2025-12-16T06:41:08-05:00,ok,,,,,,,,,
1Cor 15:28,1Cor,15,28,28,,萬物既服了他，那時子也要自己服那叫萬物服他的，叫神在萬物之上，為萬物之主。,1,"The paragraph uses 1 Corinthians 15:28 to underscore Paul’s highly theocentric view of the consummated state: in the end God is “all in all.” The future life entails immediate vision of and perfect communion with God and Christ, and the perfected sonship is fully realized then.",该段以林前15:28强调保罗对末后成全之境界的高度神本观：最终神“成为万有之中的万有”。将来生命包含对神与基督的直接看见与完全相交，且儿子的名分在那时得以成全。,"[""1 Corinthians 15:28 is cited to depict the consummation as thoroughly theocentric—God is all in all."", ""The final state brings immediate vision of and perfect communion with God and Christ."", ""Perfected sonship/adoption is fully realized only in the future life.""]","[""林前15:28用来说明终局完全以神为中心——神在万有之中成为万有。"", ""末后的状态带来对神与基督的直接看见与完全相交。"", ""儿子的名分（收纳为子）要在将来的生命里才得完全实现。""]",ent — https://www.biblicaltheology.org/ent.pdf,"- para_id=194, p_index=38: Explicitly references 1 Cor 15:28 to assert Paul’s theocentric conception of the final state and describes its features (immediate vision/communion; perfected sonship).",,,,,,,,,
  ent | https://www.biblicaltheology.org/ent.pdf,,,,,,,,,,,,,,,,,,,,,,
  Jesus, while making the kingdom a present reality, yet continues to speak of it in accordance with its original eschatological usage as “the kingdom” which lies in the future (Matthew 13:43; 25:34; 26:29; Mark 9:47; Luke 12:32; 13:28, 29; 21:31). With Paul the phrase bears preponderatingly an eschatological sense, although occasionally he uses it of the present state of believers (Romans 14: 17; 1 Corinthians 4:20; 6:9, 10; 15:24," 50; Galatians 5:21; Ephesians 5:5; Colossians 1:13; 4:11; 1 Thess …""",gpt-5,v1,2025-12-16T06:41:32-05:00,ok,,,,,,,,,,,,
1Cor 15:30-32,1Cor,15,30,32,,30. 我們又因何時刻冒險呢？,,,,,,,,,,,,,,,,
31. 弟兄們，我在我主基督耶穌裏，指着你們所誇的口極力的說，我是天天冒死。,,,,,,,,,,,,,,,,,,,,,,
"32. 我若當日像尋常人，在以弗所同野獸戰鬥，那於我有甚麼益處呢？若死人不復活，我們就吃吃喝喝吧！因為明天要死了。""",1,"The excerpt treats 1 Corinthians 15:30-32 as part of Paul’s teaching that the believer’s resurrection has a forensic (legal/vindicatory) aspect akin to Christ’s, though Paul more prominently emphasizes a pneumatic (Spirit-empowered, transformative) aspect of resurrection life. The Spirit originates and sustains the resurrection state, making resurrection the climax of believers’ transformation and linking Christ’s resurrection with believers’.",该段将林前15:30-32视为保罗教导的一部分，用来支持“信徒复活具有与基督复活相似的法庭性（申辩/宣判）意义”。同时作者强调：在保罗处，更突出的是复活的“属灵（圣灵主导、转化性）”层面；圣灵启动并维系复活的生命，使复活成为信徒转化的高潮，并把基督的复活与信徒的复活联结在一起。,"[""Believers’ resurrection has a forensic significance similar to Christ’s; 1 Cor 15:30-32 is cited as supporting evidence."", ""Yet Paul emphasizes more the pneumatic interpretation: the Spirit originates and sustains resurrection life."", ""Resurrection is the climax of believers’ transformation and is determined by the Spirit in the coming eon."", ""This pneumatic role is not derived from the OT notion of the Spirit as source of physical life; continuity lies in the Spirit’s work, not in the body.""]","[""信徒的复活具有类似于基督复活的法庭性意义；文中以林前15:30-32为佐证之一。"", ""不过，保罗更强调复活的属灵（圣灵运行的）诠释：圣灵开启并维系复活生命。"", ""复活是信徒转化的巅峰，由圣灵在将来世代所决定。"", ""这种属灵特征并非源自旧约关于圣灵作为生理生命之源的观念；连续性在于圣灵的工作，而非身体本身。""]",ent — https://www.biblicaltheology.org/ent.pdf,"- para_id=184, p_index=28: Explicitly cites 1 Corinthians 15:30-32 as evidence that Paul assigns a forensic significance to believers’ resurrection, while contrasting this with Paul’s more prominent pneumatic interpretation.",,,,,,,,,,,,,,,
  ent | https://www.biblicaltheology.org/ent.pdf,,,,,,,,,,,,,,,,,,,,,,
  3. The Resurrection of Believers: The resurrection of believers bears a twofold aspect. On the one hand it belongs to the forensic side of salvation. On the other hand it belongs to the pneumatic transforming side of the saving process. Of the former, traces appear only in the teaching of Jesus (Matthew 5:9; 22:29-32; Luke 20: 35, 36). Paul clearly ascribes to the believer’s resurrection a somewhat similar forensic significance as to that of Christ (Romans 8:10, 23; 1 Corinthians 15:30-32," 55-58 …""",gpt-5,v1,2025-12-16T06:42:19-05:00,ok,,,,,,,,,,,,,,
1Cor 15:35,1Cor,15,35,35,,或有人問：「死人怎樣復活，帶着甚麼身體來呢？」,1,"The author explains that 1 Corinthians 15:35 raises a question about the kind or mode of the resurrection body rather than its material substance. Paul’s sowing metaphor teaches that our inability to picture the resurrection body does not make it impossible; God gives a body as He wills, often quite unlike the seed. The passage should not be pressed to assert a material ‘germ’ in the corpse or to detail degrees of identity; what is sown is the body, which dies and is made alive. The focus is on the body, not the believer’s subjective spirit. “Sowing” can be viewed as encompassing the whole earthly life (including burial). Paul also answers the 15:35 question by pointing to the diversity of bodies God already uses (15:39–41): here ‘sarx’ means ‘body,’ and the resurrection body will differ in kind (heteros) from the present body, not merely as another of the same kind (allos).",作者指出，林前15:35所提出的问题，关切的是复活之身的“样式/性质”，而非其物质“成分”。保罗以“撒种”的比喻说明：即便我们难以想象复活之身，也不因此否定其可能性；神按自己的旨意赐下身体，常与所撒的种子大不相同。此比喻不应被硬压去回答“身体中是否有某种生命胚芽”或“物质同一性”的问题；所“撒下”的就是身体本身，它死了，又被叫活。整段讨论焦点在“身体”，而非信徒主观的灵。“撒种”可理解为涵盖整个人生（当然包括下葬）。保罗又以神所造诸身体的多样（15:39–41）回应15:35：此处“肉体”（sarx）意近“身体”，复活之身与现今之身在“种类”上有显著差异（heteros），而不只是同类中的差别（allos）。,"[""1 Cor 15:35 asks about the kind/mode of the resurrection body, not its substance."", ""The sowing metaphor shows conceptual difficulty is no proof of impossibility; God gives a body as He wills, often unlike the seed."", ""Do not over-press the metaphor for material continuity or a bodily ‘germ’; what is sown is the body, which dies and is made alive."", ""Discussion centers on the body, not the believer’s subjective spirit."", ""‘Sowing’ may encompass the whole earthly life (including burial)."", ""Diversity-of-bodies argument (15:39–41) addresses 15:35: ‘sarx’ there = ‘body’; the resurrection body differs in kind (heteros), not merely species (allos).""]","[""林前15:35问的是复活之身的“样式/性质”，不是其“物质成分”。"", ""撒种比喻强调：难以想象≠不可能；神按旨意赐下身体，常与种子大异其趣。"", ""不可把比喻硬解为说明物质同一或体内“生命胚芽”；所撒的是“身体”，身体死了又被叫活。"", ""讨论焦点在“身体”，不是信徒主观之灵。"", ""“撒种”可广义指整个人生（包括下葬）。"", ""15:39–41以身体多样性回应15:35：此处“sarx”近“身体”；复活之身在“种类”上与现今之身不同（heteros），不只是同类差别（allos）。""]",ent — https://www.biblicaltheology.org/ent.pdf,"- para_id=187, p_index=31: Directly analyzes 1 Cor 15:35 within 15:35–58: clarifies the question (kind vs substance), the sowing metaphor, focus on body not spirit, possible scope of ‘sowing,’ diversity-of-bodies argument, and allos/heteros distinction.",,,,,,,,,
  ent | https://www.biblicaltheology.org/ent.pdf,,,,,,,,,,,,,,,,,,,,,,
  4. The Resurrection-Body: The main passage informing us as to the nature of the resurrection body is 1 Corinthians 15:35-58. The difficulty Paul here seeks to relieve does not concern the substance of the future body, but its kind (compare 1 Corinthians 15:35 “With what manner of body do they come?”). Not until 1 Corinthians 15:50 is the deeper question of difference in substance touched upon. The point of the figure of “sowing” is not that of identity of substance, but rather this," that the imp …""",gpt-5,v1,2025-12-16T06:43:13-05:00,ok,,,,,,,,,,,,,,,
1Cor 15:35-58,1Cor,15,35,58,,35. 或有人問：「死人怎樣復活，帶着甚麼身體來呢？」,,,,,,,,,,,,,,,,
36. 無知的人哪，你所種的，若不死就不能生。,,,,,,,,,,,,,,,,,,,,,,
37. 並且你所種的不是那將來的形體，不過是子粒，即如麥子，或是別樣的穀。,,,,,,,,,,,,,,,,,,,,,,
38. 但神隨自己的意思給他一個形體，並叫各等子粒各有自己的形體。,,,,,,,,,,,,,,,,,,,,,,
39. 凡肉體各有不同：人是一樣，獸又是一樣，鳥又是一樣，魚又是一樣。,,,,,,,,,,,,,,,,,,,,,,
40. 有天上的形體，也有地上的形體；但天上形體的榮光是一樣，地上形體的榮光又是一樣。,,,,,,,,,,,,,,,,,,,,,,
41. 日有日的榮光，月有月的榮光，星有星的榮光；這星和那星的榮光也有分別。,,,,,,,,,,,,,,,,,,,,,,
42. 死人復活也是這樣：所種的是必朽壞的，復活的是不朽壞的；,,,,,,,,,,,,,,,,,,,,,,
43. 所種的是羞辱的，復活的是榮耀的；所種的是軟弱的，復活的是強壯的；,,,,,,,,,,,,,,,,,,,,,,
44. 所種的是血氣的身體，復活的是靈性的身體。若有血氣的身體，也必有靈性的身體。,,,,,,,,,,,,,,,,,,,,,,
45. 經上也是這樣記着說：「首先的人亞當成了有靈〔靈：或作血氣〕的活人」；末後的亞當成了叫人活的靈。,,,,,,,,,,,,,,,,,,,,,,
46. 但屬靈的不在先，屬血氣的在先，以後纔有屬靈的。,,,,,,,,,,,,,,,,,,,,,,
47. 頭一個人是出於地，乃屬土；第二個人是出於天。,,,,,,,,,,,,,,,,,,,,,,
48. 那屬土的怎樣，凡屬土的也就怎樣；屬天的怎樣，凡屬天的也就怎樣。,,,,,,,,,,,,,,,,,,,,,,
49. 我們既有屬土的形狀，將來也必有屬天的形狀。,,,,,,,,,,,,,,,,,,,,,,
50. 弟兄們，我告訴你們說，血肉之體不能承受神的國，必朽壞的不能承受不朽壞的。,,,,,,,,,,,,,,,,,,,,,,
51. 我如今把一件奧祕的事告訴你們：我們不是都要睡覺，乃是都要改變，,,,,,,,,,,,,,,,,,,,,,,
52. 就在一霎時，眨眼之間，號筒末次吹響的時候。因號筒要響，死人要復活成為不朽壞的，我們也要改變。,,,,,,,,,,,,,,,,,,,,,,
53. 這必朽壞的總要變成〔變成：原文作穿；下同〕不朽壞的，這必死的總要變成不死的。,,,,,,,,,,,,,,,,,,,,,,
54. 這必朽壞的既變成不朽壞的，這必死的既變成不死的，那時經上所記「死被得勝吞滅」的話就應驗了。,,,,,,,,,,,,,,,,,,,,,,
55. 死啊！你得勝的權勢在那裏？死啊！你的毒鉤在那裏？,,,,,,,,,,,,,,,,,,,,,,
56. 死的毒鉤就是罪，罪的權勢就是律法。,,,,,,,,,,,,,,,,,,,,,,
57. 感謝神，使我們藉着我們的主耶穌基督得勝。,,,,,,,,,,,,,,,,,,,,,,
